id,feed_rate_kg_hr,reactor_temp_c,reduction_time_min,grind_micron,h2_recycle,heat_recovery,condenser_mode,oxygen_kg_hr,power_kw,h2_loss_kg_hr,complexity_score,thermal_margin_c,conversion,robustness_score,yield_retention,worst_oxygen_kg_hr,worst_thermal_margin_c,max_power_kw,max_h2_loss_kg_hr,rank_score,pareto
candidate_0030,5.0,850.0,30.0,200.0,True,False,low,0.04587837381818181,12.635,0.012,1.7,240.0,0.29509090909090907,0.8822919667590028,0.82,0.03762026653090908,234.6,14.7266,0.016200000000000003,-1.0861588241373963,True
candidate_0031,5.0,850.0,30.0,200.0,True,False,nominal,0.05035431272727272,12.764999999999999,0.012,1.9,240.0,0.29509090909090907,0.882629142185664,0.82,0.04129053643636363,234.6,14.856599999999998,0.016200000000000003,-1.1152397129400704,True
candidate_0032,5.0,850.0,30.0,200.0,True,False,high,0.053151774545454535,12.934999999999999,0.012,2.15,240.0,0.29509090909090907,0.8830598376497875,0.82,0.043584455127272714,234.6,15.026599999999998,0.016200000000000003,-1.1590823232902971,True
candidate_0033,5.0,850.0,30.0,200.0,True,True,low,0.04587837381818181,12.215,0.012,2.2,240.0,0.29509090909090907,0.8811535816618912,0.82,0.03762026653090908,234.6,14.3066,0.016200000000000003,-1.0521525632733526,True
candidate_0034,5.0,850.0,30.0,200.0,True,True,nominal,0.05035431272727272,12.344999999999999,0.012,2.4000000000000004,240.0,0.29509090909090907,0.8815142162818955,0.82,0.04129053643636363,234.6,14.436599999999999,0.016200000000000003,-1.081200609205346,True
candidate_0035,5.0,850.0,30.0,200.0,True,True,high,0.053151774545454535,12.514999999999999,0.012,2.6500000000000004,240.0,0.29509090909090907,0.8819745105872953,0.82,0.043584455127272714,234.6,14.606599999999998,0.016200000000000003,-1.1250017811777862,True
candidate_0036,5.0,850.0,45.0,50.0,False,False,low,0.05266967345454545,15.080000000000002,0.045,1.0,240.0,0.3387727272727273,0.8613710580607132,0.8199999999999998,0.04318913223272726,234.6,17.171599999999998,0.06075,-1.5176072371150018,False
candidate_0037,5.0,850.0,45.0,50.0,False,False,nominal,0.05780817818181818,15.21,0.045,1.2,240.0,0.3387727272727273,0.8616081525312294,0.8199999999999998,0.0474027061090909,234.6,17.3016,0.06075,-1.545370594456279,False
candidate_0038,5.0,850.0,45.0,50.0,False,False,high,0.06101974363636363,15.38,0.045,1.45,240.0,0.3387727272727273,0.8619121514232047,0.8199999999999998,0.05003618978181817,234.6,17.4716,0.06075,-1.588479552007514,False
candidate_0039,5.0,850.0,45.0,50.0,False,True,low,0.05266967345454545,14.660000000000002,0.045,1.5,240.0,0.3387727272727273,0.8605763225708656,0.8199999999999998,0.04318913223272726,234.6,16.751599999999996,0.06075,-1.4831198668007883,False
candidate_0040,5.0,850.0,45.0,50.0,False,True,nominal,0.05780817818181818,14.790000000000001,0.045,1.7,240.0,0.3387727272727273,0.8608271354518819,0.8199999999999998,0.0474027061090909,234.6,16.8816,0.06075,-1.5108640183673652,False
candidate_0041,5.0,850.0,45.0,50.0,False,True,high,0.06101974363636363,14.96,0.045,1.95,240.0,0.3387727272727273,0.8611485442661913,0.8199999999999998,0.05003618978181817,234.6,17.051599999999997,0.06075,-1.5539486020273323,False
candidate_0042,5.0,850.0,45.0,50.0,True,False,low,0.05266967345454545,14.780000000000001,0.012,1.7,240.0,0.3387727272727273,0.8870968876860622,0.8199999999999998,0.04318913223272726,234.6,16.871599999999997,0.016200000000000003,-1.450591075639513,True
candidate_0043,5.0,850.0,45.0,50.0,True,False,nominal,0.05780817818181818,14.91,0.012,1.9,240.0,0.3387727272727273,0.8873436619718309,0.8199999999999998,0.0474027061090909,234.6,17.0016,0.016200000000000003,-1.4783408812394365,True
candidate_0044,5.0,850.0,45.0,50.0,True,False,high,0.06101974363636363,15.08,0.012,2.15,240.0,0.3387727272727273,0.887659946949602,0.8199999999999998,0.05003618978181817,234.6,17.171599999999998,0.016200000000000003,-1.5214326382705572,True
candidate_0045,5.0,850.0,45.0,50.0,True,True,low,0.05266967345454545,14.360000000000001,0.012,2.2,240.0,0.3387727272727273,0.8862690807799443,0.8199999999999998,0.04318913223272726,234.6,16.451599999999996,0.016200000000000003,-1.416150005308078,True
candidate_0046,5.0,850.0,45.0,50.0,True,True,nominal,0.05780817818181818,14.49,0.012,2.4000000000000004,240.0,0.3387727272727273,0.8865304347826086,0.8199999999999998,0.0474027061090909,234.6,16.581599999999998,0.016200000000000003,-1.443879399304348,True
candidate_0047,5.0,850.0,45.0,50.0,True,True,high,0.06101974363636363,14.66,0.012,2.6500000000000004,240.0,0.3387727272727273,0.8868652114597544,0.8199999999999998,0.05003618978181817,234.6,16.751599999999996,0.016200000000000003,-1.4869452679563437,True
candidate_0048,5.0,850.0,45.0,100.0,False,False,low,0.05266967345454545,13.830000000000002,0.045,1.0,240.0,0.3387727272727273,0.8588638226078573,0.8199999999999998,0.04318913223272726,234.6,15.921600000000002,0.06075,-1.296117366749,False
candidate_0049,5.0,850.0,45.0,100.0,False,False,nominal,0.05780817818181818,13.96,0.045,1.2,240.0,0.3387727272727273,0.8591454950652657,0.8199999999999998,0.0474027061090909,234.6,16.0516,0.06075,-1.323818314908628,False
candidate_0050,5.0,850.0,45.0,100.0,False,False,high,0.06101974363636363,14.13,0.045,1.45,240.0,0.3387727272727273,0.8595060155697098,0.8199999999999998,0.05003618978181817,234.6,16.221600000000002,0.06075,-1.3668481422024064,False
